"Qty";"Value";"Device";"Package";"Parts";"Description";"MANUFACTURER_PART_NUMBER";"MF";"MFG_PN";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"SF_ID";"SPICEPREFIX";"TP_SIGNAL_NAME";"VALUE";"VENDOR";
"5";"";"BU-SMA-V";"BU-SMA-V";"X1, X2, X3, X4, X9";"FEMALE SMA CONNECTOR";"";"";"";"";"unknown";"unknown";"";"";"";"";"";"";
"1";"";"CONN_05X2SHD";"2X5-SHROUDED";"J1";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"CONN-08671";"PRT-08506";"";"";"";"";
"3";"";"CONN_08"";"1X08";"J3, J4, J5";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"CONN-08438";"";"";"";"";"";
"7";"";"JUMPER-2PTH";"1X02";"JP1, JP2, JP3, JP10, JP11, JP12, JP13";"Jumper";"";"";"";"";"";"";"";"";"";"";"";"";
"12";"";"JUMPER-3PTH";"1X03";"JP6, JP7, JP8, JP9, JP14, JP15, JP16, JP17, JP18, JP19, JP20, JP21";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"JP4, JP5";"Normally open jumper";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"LT1763CS8-3.3";"SOIC8";"IC1";"500mA, Low Noise, LDO Micropower Regulators";"";"";"";"LT1763CS8-3.3";"1273617";"57M6055";"";"";"";"";"";"";
"1";"";"SLVU2.8HTG";"SOT-23";"D2";"TVS Diode";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"";"SOLDERJUMPERNO";"SJ_2S-NO";"SJ1, SJ2, SJ3, SJ4";"Solder Jumper";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"USB_AB_SMT";"USB-AB-MICRO-SMD";"J2";"USB Type AB Micro Connector";"";"";"";"";"";"";"CONN-11794";"";"";"";"";"";
"7";" ";"RESISTOR0603";"0603";"R1, R2, R3, R9, R10, R14, R15";"Generic Resistor Package";"";"";"";"";"";"";" ";"";"";"";" ";"";
"2";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"C4, C8";"0.1µF ceramic capacitors";"";"";"";"";"";"";"CAP-00810";"";"";"";"0.1uF";"";
"7";"0.1uF";"0.1UF-0603-25V-5%";"0603";"C11, C12, C13, C16, C23, C24, C27";"0.1µF ceramic capacitors";"";"";"";"";"";"";"CAP-08604";"";"";"";"0.1uF";"";
"3";"1.0uF";"1.0UF-0603-16V-10%";"0603";"C14, C15, C19";"1µF ceramic capacitors";"";"";"";"";"";"";"CAP-00868";"";"";"";"1.0uF";"";
"1";"10";"10OHM-1206-1/4W-1%";"1206";"R11";"10Ω resistor";"";"";"";"";"";"";"RES-08705";"";"";"";"10";"";
"1";"100";"100OHM-0603-1/10W-1%";"0603";"R5";"100Ω resistor";"";"";"";"";"";"";"RES-07863";"";"";"";"100";"";
"3";"100k";"100KOHM-0603-1/10W-1%";"0603";"R8, R20, R21";"100kΩ resistor";"";"";"";"";"";"";"RES-07828";"";"";"";"100k";"";
"3";"10k";"10KOHM-0603-1/10W-1%";"0603";"R4, R12, R19";"10kΩ resistor";"";"";"";"";"";"";"RES-00824";"";"";"";"10k";"";
"2";"10nF";"10NF-0603-50V-10%";"0603";"C20, C26";"0.01uF/10nF/10,000pF ceramic capacitors";"";"";"";"";"";"";"CAP-00867";"";"";"";"10nF";"";
"2";"10pF";"10PF-0603-50V-5%";"0603";"C28, C29";"10pF ceramic capacitors";"";"";"";"";"";"";"CAP-11812";"";"";"";"10pF";"";
"1";"10pF";"CAPACITOR_0603_L";"RESC0603_L";"CX";"Generic chip capacitor";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"10uF";"10UF-0603-6.3V-20%";"0603";"C21, C25";"10.0µF ceramic capacitors";"";"";"";"";"";"";"CAP-11015";"";"";"";"10uF";"";
"1";"10uF";"10UF-0805-10V-10%";"0805";"C22";"10.0µF ceramic capacitors";"";"";"";"";"";"";"CAP-11330";"";"";"";"10uF";"";
"1";"10uH";"INDUCTOR-1210";"1210-INDUCTOR";"L1";"Inductor, 1210 Package";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"12nH";"INDUCTOR_0603_L";"RESC0603_L";"LM";"Generic chip inductor";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"140nH";"INDUCTOR_0603_L";"RESC0603_L";"LX";"Generic chip inductor";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"2.2uF";"2.2UF-0603-10V-20%";"0603";"C2";"2.2µF ceramic capacitors";"";"";"";"";"";"";"CAP-07888";"";"";"";"2.2uF";"";
"1";"2.5A/30V";"MOSFET-PCHANNELDMG2307L";"SOT23-3";"Q1";"Generic PMOSFET";"";"";"";"";"";"";"TRANS-11308";"";"";"";"2.5A/30V";"";
"1";"22pF";"CAPACITOR_0603_L";"RESC0603_L";"C0";"Generic chip capacitor";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"22uF";"22UF-0805-6.3V-20%";"0805";"C5, C6, C7";"22µF ceramic capacitors";"";"";"";"";"";"";"CAP-08402";"";"";"";"22uF";"";
"4";"27";"27OHM-0603-1/10W-1%";"0603";"R6, R7, R13, R16";"27Ω resistor";"";"";"";"";"";"";"RES-09334";"";"";"";"27";"";
"1";"3.3V";"V_REG_AP2112K-3.3V";"SOT23-5";"U7";"AP2112 - 600mA CMOS LDO Regulator w/ Enable";"";"";"";"";"";"";"VREG-12457";"";"";"";"3.3V";"";
"2";"300";"300OHM-0603-1/10W-1%";"0603";"R17, R18";"300Ω resistor";"";"";"";"";"";"";"RES_10328";"";"";"";"300";"";
"1";"30MHZ 402F3001XIAR";"CRYSTALS-GND-LID-IQXC-42";"2.0X1.6-4-PAD";"X8";"CRYSTALS WITH CAN GROUNDED";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"32.768kHz";"CRYSTAL-32.768KHZSMD-3.2X1.5";"CRYSTAL-SMD-3.2X1.5MM";"Y1, Y2";"32.768kHz Crystal";"";"";"";"";"";"";"XTAL-13062";"";"";"";"32.768kHz";"";
"1";"33nH/±5%/500mA";"INDUCTOR-0603-33NH";"0603";"L2";"Inductors";"";"";"";"";"";"";"NDUC-07874";"";"";"";"33nH/±5%/500mA";"";
"1";"4.7pF";"CAPACITOR_0603_L";"RESC0603_L";"CM";"Generic chip capacitor";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"4.7uF";"4.7UF0603";"0603";"C3";"4.7µF ceramic capacitors";"";"";"";"";"";"";"CAP-08280";"";"";"";"4.7uF";"";
"1";"470nH";"INDUCTOR_0603_L";"RESC0603_L";"LC";"Generic chip inductor";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"56nH";"INDUCTOR_0603_L";"RESC0603_L";"L0";"Generic chip inductor";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"6pF";"C-EUC0603";"C0603";"C9, C10, C17, C18";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"C";"";"";"";
"1";"7.5pF";"CAPACITOR_0603_L";"RESC0603_L";"CM2";"Generic chip capacitor";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"C-GRID-02-70553";"C-GRID-02-70553";"70553-02";"X7";"CONNECTOR";"";"MOLEX";"";"";"unknown";"unknown";"";"";"";"";"";"";
"1";"C-GRID-04-70553";"C-GRID-04-70553";"70553-04";"X6";"CONNECTOR";"";"MOLEX";"";"";"unknown";"unknown";"";"";"";"";"";"";
"1";"EVA-8M";"EVA-8M";"EVA-8M";"U2";"u-blox EVA GNSS module";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"FT232RL";"FT232RLSSOP";"SSOP28DB";"U6";"FT232RL USB UART";"";"";"";"";"";"";"IC-00870";"";"";"";"FT232RL";"";
"1";"GREEN";"LED-GREEN0603";"LED-0603";"D4";"Green SMD LED";"";"";"";"";"";"";"DIO-00821";"";"";"";"GREEN";"";
"1";"JTI_ANTENNA-1575AT43A40";"JTI_ANTENNA-1575AT43A40";"JTI_ANTENNA-1575AT43A40";"X5";"GPS Antenna - SMD";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"KXOB22-04X3";"KXOB22-04X3";"KX0B22";"SC1, SC2";"IXYS Solar Cell";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"LTC3106";"LTC3106";"UDC20QFN";"U1";"LTC Series";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"RED";"LED-RED0603";"LED-0603";"D3";"Red SMD LED";"";"";"";"";"";"";"DIO-00819";"";"";"";"RED";"";
"1";"SI4464";"SI4464";"QFN20+GNDPAD";"U4";"SI Labs";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"SKQGADE010";"SMD-BUTTON(4P-5.2X5.2X1.5MM-SKQGADE010)-SKQGADE010";"SW4-SMD-5.2X5.2X1.5MM";"SW1, SW2";"311020017";"";"";"";"SKQGADE010";"";"";"";"";"";"";"SKQGADE010";"";
"1";"STM32L011G4";"STM32L011G4";"UFQFPN28";"U3";"STM32L0 Series";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"TPPAD1-13";"TPPAD1-13";"P1-13";"TP1, TP2";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"TV1030-3R0106-R";"TV1030-3R0106-R";"5.0MM-SUPERCAP";"C1";"10F Supercapacitor";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"USB-C_R/A_HYBRID_RCPT";"USB-C_R/A_HYBRID";"USB-C_R/A_HYBRID_RCPT";"U5";"USB-C Right Angle Hybrid Receptacle";"";"";"12401548E4#2A";"";"";"";"";"";"";"";"";"";
"2";"USBLC6-2SC6";"USBLC6-2SC6";"SOT23-6L";"CR1, CR2";"";"USBLC62SC6";"";"";"";"";"";"";"";"";"";"";"ST Microelectronics";
"1";"ZLLS400";"ZLLS400";"SOD-323";"D1";"SCHOTTKY DIODE, ZLLS400";"";"";"";"";"";"";"";"";"";"";"";"";
